,이름,아이디,리뷰,날짜,별점
0,스템커피,베로니카,식물원같은 인테리어가 쾌적한 기분이 나게 해요 인테리어도 맘에 들고 플랫화이트와 리치화이트가 아주 맛있네요 어수선한 공간일수 있는 위치인데 여유롭게 즐길수 있도록하는 인테리어때문에 재방문하고 싶어요,2019년 7월 14일,4
1,스템커피,달리는진저맨,오 분위기 힙한 카페에요! 메가박스 영화 보기 전에 데이트 코스로 딱이네요! 추천,2019년 11월 30일,4
2,스템커피,summerhonged,"메가박스 일층에 있는 엄청 큰 카페로
인테리어도 예쁘고 빵과 음료도 맛있음
코엑스에서 카페 자리 있는 곳 오랜만에 봤오
사진찍기 예쁜 곳",2019년 10월 23일,4
3,스템커피,콩님,커피맛 정말 진해서 진한 커피 좋아하시면 좋아요. 평일 낮엔 괜찮은데 저녁에는 너무 시끄럽고 공간 크기 대비 직원도 적어서 불친절하고 지저분합니다.,2020년 1월 1일,3
4,스템커피,keemee,넓고 인테리어가 예쁘게 잘되어있어요~ 커피도 맛있어서 코엑스 갈 때 또 갈꺼같아요.,2020년 10월 10일,4
5,스템커피,리니,"코엑스 메가박스 옆? 에 위치해있어요
카페 넓고 깔끔하고 분위기있어서 좋았어요
커피도 맛있고 디저트는 좀 비싼편이예용",4월 14일,4
6,스템커피,아이고힘들다,인스타분위기 카페는 맛없기 마련인데 여기는 커피도 맛있고 분위기도 좋아요 단 직원분들이 친절한지는 케바케인듯,2019년 12월 23일,4
7,스템커피,blbl,메가박스 안에 있더라구요. 가는 길이 어렵고 팝콘 냄새가 많이 났지만 카페분위기는 좋았어요,2019년 12월 27일,3
8,스템커피,바다별,와 여기 코엑스에서 첨 가본곳인데 겁나 핫플이어씀;; 바나나케잌 존트맛,2020년 8월 15일,4
9,스템커피,solart,분위기가 좋고 커피 메뉴도 맛있어서 좋습니다! 추천해용 :),2020년 3월 2일,5
